ID,Sales Rank,Date,Review Score,Review Count
0307261050,92263.0,"July 15, 1998",4.35,54
1491421398,4006012.0,"January 1, 2015",0.0,0
1454914890,37206.0,"April 7, 2015",4.67,28
162370426X,57711.0,"August 1, 2015",4.88,49
0394890523,97165.0,"May 12, 1987",4.35,20
0060782234,941215.0,"May 2, 2006",4.74,19
0375858997,32004.0,"July 27, 2010",4.71,174
0896866912,19697647.0,"November 1, 1992",0.0,0
0756638801,174323.0,"August 4, 2008",4.55,20
1935414119,112523.0,"May 9, 2011",4.44,97
1879196026,2092434.0,"February 24, 2010",4.51,8
0812016254,3964995.0,"September 1, 1993",5.0,1
0060843543,255366.0,"August 25, 2009",4.78,40
0803708955,3593663.0,"September 2, 1991",4.5,2
0374301913,72471.0,"August 9, 2016",3.31,66
0142400122,33903.0,"September 1, 1984",4.61,38
0395742129,36294.0,1995,4.64,71
1592983626,455563.0,"November 8, 2010",4.88,8
006443009X,7156.0,"January 24, 2006",4.77,336
148473274X,3216.0,"May 3, 2016",4.51,1565
0516278134,127337.0,March 2003,5.0,12
1416950826,452402.0,"March 4, 2008",4.6,20
1580376290,464890.0,"January 3, 2012",4.28,11
0689854536,1210432.0,"August 10, 2004",4.89,9
1582463158,919627.0,"August 24, 2010",4.17,19
0439203074,84356.0,"October 1, 2006",4.55,53
0816695458,80095.0,"October 15, 2014",4.72,54
0761156976,66726.0,"December 16, 2009",4.67,120
1483811697,21020.0,,4.49,53
1590785959,415499.0,"September 1, 2008",4.48,45
0395587611,216403.0,"October 1, 1992",5.0,3
0888992181,705756.0,"March 27, 1998",4.34,15
1484730887,2560.0,"November 24, 2015",4.85,258
0395919088,28134.0,"October 26, 1998",4.45,1080
076365549X,11948.0,"February 14, 2012",4.7,36
0736864490,7290176.0,"September 1, 2006",0.0,0
1585363553,306933.0,"June 5, 2008",4.78,32
0810993139,465.0,"April 1, 2007",4.62,11292
1477702814,4810894.0,"January 15, 2013",0.0,0
0989226743,11528.0,"January 14, 2014",4.81,88
0316199753,22824.0,"September 24, 2013",4.88,34
0544083539,23186.0,"December 18, 2012",4.46,106
1570914435,232917.0,"February 1, 2003",4.67,6
0836872452,1101060.0,"August 30, 2006",5.0,2
1771385723,159180.0,"August 1, 2015",4.7,21
0553497286,280521.0,"September 8, 2015",4.72,98
1406291234,9495960.0,"June 4, 2015",0.0,0
0547534264,26005.0,"January 10, 2011",4.46,357
0448448580,140295.0,"August 14, 2008",4.75,46
1464404194,173507.0,"January 1, 2014",0.0,0
0822530724,1451043.0,"October 1, 2003",4.67,3
